snippet_id,cat_id,cat_id_method,cluster_size,video_id,channel,platform,behavioral_category,bbox_found,yolo_conf,clip_similarity_to_nearest,gpt_verified,breed_guess,coat_pattern
-O4TzeFvjyo_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.953406810760498,0.8955704569816589,False,mixed,calico
-O4TzeFvjyo_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8957628607749939,0.9113971590995789,False,mixed,calico
-O4TzeFvjyo_snip_10,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9485491514205933,0.828411340713501,False,mixed,calico
-O4TzeFvjyo_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.7580748200416565,0.8955704569816589,False,mixed,calico
-O4TzeFvjyo_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9636712670326233,0.875359058380127,False,mixed,calico
-O4TzeFvjyo_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8746212720870972,0.8816724419593811,False,mixed,calico
-O4TzeFvjyo_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9516700506210327,0.8702611327171326,False,mixed,calico
-O4TzeFvjyo_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9239068031311035,0.9013513326644897,False,mixed,calico
-O4TzeFvjyo_snip_7,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8943774700164795,0.8303830027580261,False,mixed,calico
-O4TzeFvjyo_snip_8,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9243154525756836,0.8682242035865784,False,mixed,calico
-O4TzeFvjyo_snip_9,cat_-O4TzeFvjyo_snip_0,union_find,290,-O4TzeFvjyo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9222124814987183,0.8954120874404907,False,mixed,calico
5KY1xRN4iAM_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8747556805610657,0.9282032251358032,False,mixed,bicolor
5KY1xRN4iAM_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.95777827501297,0.8995632529258728,False,mixed,bicolor
5KY1xRN4iAM_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.947461724281311,0.8939497470855713,False,mixed,bicolor
5KY1xRN4iAM_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8642800450325012,0.8467785120010376,False,mixed,bicolor
5KY1xRN4iAM_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9455306529998779,0.9282032251358032,False,mixed,bicolor
5KY1xRN4iAM_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.927677571773529,0.8698294758796692,False,mixed,bicolor
5KY1xRN4iAM_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,5KY1xRN4iAM,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9443386197090149,0.9034325480461121,False,mixed,bicolor
7QtLbftvxMg_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8985742926597595,0.9332593083381653,False,mixed,calico
7QtLbftvxMg_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.885687530040741,0.9289097189903259,False,mixed,calico
7QtLbftvxMg_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9048269391059875,0.9294652342796326,False,mixed,calico
7QtLbftvxMg_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9188281893730164,0.9293646216392517,False,mixed,calico
7QtLbftvxMg_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9251201152801514,0.8856604099273682,False,mixed,calico
7QtLbftvxMg_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8925608992576599,0.9162485599517822,False,mixed,calico
7QtLbftvxMg_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9207484722137451,0.9332593083381653,False,mixed,calico
7QtLbftvxMg_snip_7,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9340360760688782,0.9024344682693481,False,mixed,calico
7QtLbftvxMg_snip_8,cat_-O4TzeFvjyo_snip_0,union_find,290,7QtLbftvxMg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9495552182197571,0.9294652342796326,False,mixed,calico
7XI3xY5C2DQ_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9567018747329712,0.8963072896003723,False,mixed,bicolor
7XI3xY5C2DQ_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9524572491645813,0.9004031419754028,False,mixed,bicolor
7XI3xY5C2DQ_snip_13,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9162934422492981,0.9004031419754028,False,mixed,bicolor
7XI3xY5C2DQ_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9678971767425537,0.8839085102081299,False,mixed,bicolor
7XI3xY5C2DQ_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9701318740844727,0.8839085102081299,False,mixed,bicolor
7XI3xY5C2DQ_snip_7,cat_-O4TzeFvjyo_snip_0,union_find,290,7XI3xY5C2DQ,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8479796051979065,0.8719322681427002,False,mixed,bicolor
7ZfHY4qTELs_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,7ZfHY4qTELs,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Agonistic,True,0.9630230665206909,0.9040474891662598,False,mixed,bicolor
AYlL2EFFqTg_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,AYlL2EFFqTg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.7351295351982117,0.9099708795547485,False,mixed,calico
AYlL2EFFqTg_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,AYlL2EFFqTg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9234408736228943,0.928623616695404,False,mixed,calico
AYlL2EFFqTg_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,AYlL2EFFqTg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9645420908927917,0.9451013803482056,False,mixed,calico
AYlL2EFFqTg_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,AYlL2EFFqTg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9250187873840332,0.8802433013916016,False,mixed,calico
AYlL2EFFqTg_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,AYlL2EFFqTg,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9367719292640686,0.9451013803482056,False,mixed,calico
AowAgvI7Y6k_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,AowAgvI7Y6k,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9317949414253235,0.8716671466827393,False,mixed,tabby
AowAgvI7Y6k_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,AowAgvI7Y6k,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9609197974205017,0.9041647911071777,False,mixed,tabby
AowAgvI7Y6k_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,AowAgvI7Y6k,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9655688405036926,0.9041647911071777,False,mixed,tabby
BtX_3gRiC3M_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,BtX_3gRiC3M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9626434445381165,0.8972349762916565,False,mixed,tabby
BtX_3gRiC3M_snip_20,cat_-O4TzeFvjyo_snip_0,union_find,290,BtX_3gRiC3M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9620198011398315,0.8857929706573486,False,mixed,tabby
BtX_3gRiC3M_snip_21,cat_-O4TzeFvjyo_snip_0,union_find,290,BtX_3gRiC3M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8825315237045288,0.8917452096939087,False,mixed,tabby
BtX_3gRiC3M_snip_23,cat_-O4TzeFvjyo_snip_0,union_find,290,BtX_3gRiC3M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.951681911945343,0.8039973378181458,False,mixed,tabby
EOotYyRdqOA_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,EOotYyRdqOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9056771397590637,0.8749341368675232,False,mixed,tabby
EOotYyRdqOA_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,EOotYyRdqOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9606063365936279,0.8863478899002075,False,mixed,tabby
EOotYyRdqOA_snip_8,cat_-O4TzeFvjyo_snip_0,union_find,290,EOotYyRdqOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9289354681968689,0.8884890079498291,False,mixed,tabby
G0srv-QIaFo_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,G0srv-QIaFo,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Agonistic,True,0.7555690407752991,0.906604528427124,False,mixed,tabby
HvDlgE-ZTCA_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.7247049808502197,0.8407144546508789,False,mixed,tabby
HvDlgE-ZTCA_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9048411846160889,0.8891986608505249,False,mixed,tabby
HvDlgE-ZTCA_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9535956978797913,0.9133071899414062,False,mixed,tabby
HvDlgE-ZTCA_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9632671475410461,0.8794761300086975,False,mixed,tabby
HvDlgE-ZTCA_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9390310049057007,0.9478653073310852,False,mixed,tabby
HvDlgE-ZTCA_snip_5,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.926128089427948,0.9478653073310852,False,mixed,tabby
HvDlgE-ZTCA_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9488314986228943,0.9069367051124573,False,mixed,tabby
HvDlgE-ZTCA_snip_7,cat_-O4TzeFvjyo_snip_0,union_find,290,HvDlgE-ZTCA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.953088104724884,0.9372006058692932,False,mixed,tabby
LCpjMt1Kv1M_snip_10,cat_-O4TzeFvjyo_snip_0,union_find,290,LCpjMt1Kv1M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8993180990219116,0.8718516826629639,False,mixed,bicolor
LCpjMt1Kv1M_snip_13,cat_-O4TzeFvjyo_snip_0,union_find,290,LCpjMt1Kv1M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.858363687992096,0.8750906586647034,False,mixed,bicolor
LCpjMt1Kv1M_snip_6,cat_-O4TzeFvjyo_snip_0,union_find,290,LCpjMt1Kv1M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.7001073956489563,0.8385158181190491,False,mixed,bicolor
LCpjMt1Kv1M_snip_7,cat_-O4TzeFvjyo_snip_0,union_find,290,LCpjMt1Kv1M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9494538307189941,0.8718516826629639,False,mixed,bicolor
LCpjMt1Kv1M_snip_9,cat_-O4TzeFvjyo_snip_0,union_find,290,LCpjMt1Kv1M,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9680764675140381,0.8830868601799011,False,mixed,bicolor
MTHGsjNX4BY_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,MTHGsjNX4BY,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.8859518766403198,0.9179646968841553,False,mixed,tabby
MTHGsjNX4BY_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,MTHGsjNX4BY,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9601550698280334,0.9179646968841553,False,mixed,tabby
MTHGsjNX4BY_snip_4,cat_-O4TzeFvjyo_snip_0,union_find,290,MTHGsjNX4BY,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9667698740959167,0.8827929496765137,False,mixed,tabby
P-l6ZAv-pOA_snip_0,cat_-O4TzeFvjyo_snip_0,union_find,290,P-l6ZAv-pOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.88628089427948,0.8553825616836548,False,mixed,bicolor
P-l6ZAv-pOA_snip_1,cat_-O4TzeFvjyo_snip_0,union_find,290,P-l6ZAv-pOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9392175078392029,0.9128913283348083,False,mixed,tricolor
P-l6ZAv-pOA_snip_2,cat_-O4TzeFvjyo_snip_0,union_find,290,P-l6ZAv-pOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9220751523971558,0.8950384259223938,False,mixed,tricolor
P-l6ZAv-pOA_snip_3,cat_-O4TzeFvjyo_snip_0,union_find,290,P-l6ZAv-pOA,UCUU3hpbkGWpnNZJX4rSWidw,YouTube,Vocalizing,True,0.9509726762771606,0.8777024149894714,False,mixed,calico
