snippet_id,audio_label_10,platform,pose_path_used,n_real_frames,mean_conf,frac_visible,zero_frame_rate,xy_std,head_conf,body_conf,y_range
fKHsL63Br8E_snip_0,HuntingMind,YouTube,dataset/embeddings/pose/v2/fKHsL63Br8E_snip_0_pose.npy,22,0.2144361663669507,0.22192513368983957,0.0,0.2125198302586758,0.28126980814744124,0.19076917947015978,1.6829361747950315
fKHsL63Br8E_snip_1,HuntingMind,YouTube,dataset/embeddings/pose/v2/fKHsL63Br8E_snip_1_pose.npy,34,0.7996108631883784,0.9377162629757786,0.0,0.08936492956791224,0.8389090673340595,0.8207525332622668,1.6829361747950315
FDHS50Ooen4_snip_0,Mating,YouTube,dataset/embeddings/pose/v2/FDHS50Ooen4_snip_0_pose.npy,35,0.570462204497151,0.7714285714285715,0.0,0.13157566598087309,0.7914005792140961,0.5901693335601261,1.657488839700818
3A9Dqdya6_w_snip_1,Mating,YouTube,dataset/embeddings/pose/v2/3A9Dqdya6_w_snip_1_pose.npy,35,0.7063793754690335,0.8521008403361344,0.0,0.1473777966135212,0.8045499813822763,0.7123712224353637,1.8583720289170742
3A9Dqdya6_w_snip_4,Mating,YouTube,dataset/embeddings/pose/v2/3A9Dqdya6_w_snip_4_pose.npy,35,0.6208252263544988,0.7865546218487395,0.0,0.12130626004040235,0.6564864906030042,0.6979986361094883,1.72692197188735
qNS72SQEGAc_snip_1,HuntingMind,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_1_pose.npy,31,0.279493592092785,0.3984819734345351,0.0,0.23321459510494338,0.3428345340033693,0.34209801352793173,0.5767250745557249
qNS72SQEGAc_snip_2,Defence,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_2_pose.npy,35,0.4757439019236745,0.6436974789915967,0.0,0.10213174492945679,0.6037399301465068,0.6504594458001001,0.45370379090309143
qNS72SQEGAc_snip_8,Resting,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_8_pose.npy,35,0.4377819377835057,0.6252100840336134,0.0,0.20416210775398436,0.45687660232186317,0.6186208458883422,0.5993265621364117
qNS72SQEGAc_snip_9,Defence,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_9_pose.npy,35,0.43645117458957833,0.6319327731092437,0.0,0.09012927080775993,0.5149161041261895,0.5791570961475372,0.46589554101228714
qNS72SQEGAc_snip_12,Fighting,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_12_pose.npy,35,0.4353581891966467,0.6420168067226891,0.0,0.21358525789427404,0.43192310349217483,0.47334465554782323,0.5876272567547858
qNS72SQEGAc_snip_13,Fighting,YouTube,dataset/embeddings/pose/v2/qNS72SQEGAc_snip_13_pose.npy,35,0.4714197799970372,0.6722689075630253,0.0,0.06412431328664703,0.5068139757748161,0.6854954094759056,0.39085553586483
Fumm0JBEZjY_snip_11,Mating,YouTube,dataset/embeddings/pose/v2/Fumm0JBEZjY_snip_11_pose.npy,23,0.36891260821029276,0.5370843989769821,0.0,0.22598839257604128,0.4342395026155788,0.3272918294305387,1.6829361747950315
Fumm0JBEZjY_snip_21,Mating,YouTube,dataset/embeddings/pose/v2/Fumm0JBEZjY_snip_21_pose.npy,28,0.4124512677628766,0.5441176470588235,0.0,0.23625367743806389,0.5058180851462696,0.4765745611595256,1.6829361747950315
Fumm0JBEZjY_snip_22,Angry,YouTube,dataset/embeddings/pose/v2/Fumm0JBEZjY_snip_22_pose.npy,33,0.2648888299251623,0.32085561497326204,0.0,0.3246371091601832,0.47403949934876327,0.24669007482853803,1.8158508371561766
